riddle,answer
"What number becomes zero when you subtract 15 from half of it?",30
"I am a number that when multiplied by 3 equals 21. What number am I?",7
"If you add 8 to a number, you get 15. What is the number?",7
"What number is 5 more than 12?",17
"What is the result when you subtract 4 from 10?",6
"I have two digits: my tens digit is 2 and my ones digit is 5. What number am I?",25
"What is 9 plus 6?",15
"What number do you get when you double 9?",18
"I am a number that when divided by 3 equals 4. What number am I?",12
"What is half of 100?",50
"What is 15 minus 7?",8
"If you add 25 and 30, what is the sum?",55
"What is 8 times 3?",24
"What number results from subtracting 2 from 15?",13
"What is the product of 4 and 7?",28
"What is 20 divided by 4?",5
"What number is 10 more than 5?",15
"What number is 3 less than 20?",17
"I am a number that when added to 9 gives 20. What number am I?",11
"What is 7 times 5?",35
"What number is the difference between 50 and 15?",35
"What is 14 divided by 2?",7
"What is the sum of 6 and 9?",15
"If you subtract 3 from 10, what do you get?",7
"What is 5 times 4?",20
"What is 18 divided by 3?",6
"What number is obtained by adding 8 and 12?",20
"I am a number that when multiplied by 2 equals 16. What number am I?",8
"What is 21 minus 6?",15
"What is the square of 5?",25
